id,title,artist,full_lyrics,reff_lyrics,emotion
11,kontrak habis,tulus,kontrak kerja tinggal dua bulan. belum ada kepastian diperpanjang. cemas memikirkan nasib. waswas harus cari kerja lagi. boss tidak memberi sinyal. apakah performku cukup baik. gelisah menunggu keputusan. yang menentukan masa depan. . kontrak habis membuatku khawatir. takut menganggur tanpa penghasilan. ketidakpastian status kerja mencekam. bimbang harus mulai melamar lagi. gemetar kalau harus bilang ke keluarga. keraguan menyelimuti setiap hari. cicilan masih panjang. tapi masa depan tidak jelas. resah kalau harus pindah. ke perusahaan yang tidak familiar,kontrak habis membuatku khawatir. takut menganggur tanpa penghasilan. ketidakpastian status kerja mencekam. bimbang harus mulai melamar lagi. gemetar kalau harus bilang ke keluarga. keraguan menyelimuti setiap hari,takut
12,hamil duluan,andmesh kamaleng,test pack menunjukkan dua garis. jantung berdebar tidak karuan. cemas belum siap jadi orangtua. waswas reaksi keluarga nanti. pacar juga shock dengar kabar. kami belum menikah resmi. gelisah kalau orangtua marah. takut dikucilkan masyarakat. . hamil duluan membuatku khawatir. takut masa depan anak tidak jelas. ketidakpastian pernikahan mencekam. bimbang harus bilang atau sembunyi. gemetar memikirkan tanggung jawab. keraguan apakah kami siap. mimpi kuliah harus tertunda. rencana hidup berubah total. resah menghadapi kenyataan. yang datang terlalu cepat,hamil duluan membuatku khawatir. takut masa depan anak tidak jelas. ketidakpastian pernikahan mencekam. bimbang harus bilang atau sembunyi. gemetar memikirkan tanggung jawab. keraguan apakah kami siap,takut
13,beasiswa ditolak,rossa,email penolakan beasiswa datang. mimpi kuliah s2 pupus sudah. cemas masa depan tidak cerah. waswas ketinggalan dari teman. orangtua tidak mampu bayar. kuliah mahal di luar negeri. gelisah harus cari alternatif. takut mimpi tidak tercapai. . beasiswa ditolak membuatku khawatir. takut tidak bisa melanjutkan kuliah. ketidakpastian pendidikan mencekam. bimbang harus kerja atau menunggu. gemetar melihat peluang tertutup. keraguan apakah masih ada harapan. teman-teman sudah berangkat. aku masih terjebak di sini. resah memikirkan masa depan. yang semakin tidak pasti,beasiswa ditolak membuatku khawatir. takut tidak bisa melanjutkan kuliah. ketidakpastian pendidikan mencekam. bimbang harus kerja atau menunggu. gemetar melihat peluang tertutup. keraguan apakah masih ada harapan,takut
14,pindah kota,vira talisa,"dapat kerja di kota seberang. harus meninggalkan kampung halaman. cemas hidup sendirian. waswas tidak punya teman. keluarga jauh tidak bisa bantuan. kalau ada masalah harus sendiri. gelisah memikirkan adaptasi. takut tidak betah di sana. . pindah kota membuatku khawatir. takut kesepian di tempat baru. ketidakpastian kehidupan mencekam. bimbang antara kesempatan dan keluarga. gemetar meninggalkan zona nyaman. keraguan apakah keputusan tepat. budaya berbeda, bahasa berbeda. apakah aku bisa menyesuaikan. resah kalau gagal beradaptasi. dan harus pulang dengan muka muram",pindah kota membuatku khawatir. takut kesepian di tempat baru. ketidakpastian kehidupan mencekam. bimbang antara kesempatan dan keluarga. gemetar meninggalkan zona nyaman. keraguan apakah keputusan tepat,takut
15,investasi merugi,judika,tabungan lima tahun habis. investasi saham anjlok parah. cemas memikirkan masa depan. waswas dana pensiun lenyap. broker bilang sabar menunggu. tapi hatiku gelisah terus. takut uang tidak balik. keraguan menghantuiku. . investasi merugi membuatku khawatir. takut tidak bisa pensiun dengan tenang. ketidakpastian pasar mencekam jiwa. bimbang harus cut loss atau hold. gemetar melihat portfolio merah. resah masa depan finansial gelap. impian rumah idaman. ternyata harus tertunda lagi. keluarga mulai bertanya. kemana uang tabungan pergi,investasi merugi membuatku khawatir. takut tidak bisa pensiun dengan tenang. ketidakpastian pasar mencekam jiwa. bimbang harus cut loss atau hold. gemetar melihat portfolio merah. resah masa depan finansial gelap,takut
16,sendirian di jalan gelap,noah,"motor mogok di tengah jalan sepi. malam sudah larut, tak ada orang. gelap mencekam di sekitar. waswas ada yang mengintai. suara langkah kaki mendekat. jantung berdebar semakin kencang. cemas ada niat jahat. gemetar tangan pegang kunci. . sendirian di jalan gelap. takut dibegal preman jalanan. bahaya mengancam dari bayang-bayang. terancam keselamatan jiwa. keraguan apakah bisa sampai rumah. panik kalau ada yang menyerang. lampu jalan mati semua. kegelapan semakin mencekam. resah menunggu bantuan. yang entah kapan datang",sendirian di jalan gelap. takut dibegal preman jalanan. bahaya mengancam dari bayang-bayang. terancam keselamatan jiwa. keraguan apakah bisa sampai rumah. panik kalau ada yang menyerang,takut
17,stalker misterius,afgan,ada yang selalu mengikuti. ke mana pun aku pergi. cemas merasa diawasi. waswas ada niat buruk. di belakang selalu ada bayangan. kalau menoleh dia bersembunyi. gelisah merasa tidak aman. takut dia masuk ke rumah. . stalker misterius menghantuiku. takut dia lakukan hal jahat. bahaya mengancam setiap hari. terancam privasi dan keamanan. gemetar kalau sendirian di rumah. panik membayangkan dia masuk. melaporkan ke polisi. tapi mereka bilang belum ada tindak pidana. resah harus menunggu. sampai dia berbuat sesuatu,stalker misterius menghantuiku. takut dia lakukan hal jahat. bahaya mengancam setiap hari. terancam privasi dan keamanan. gemetar kalau sendirian di rumah. panik membayangkan dia masuk,takut
18,rumah kosong malam,dmasiv,orangtua pergi ke luar kota. rumah jadi sepi dan sunyi. cemas sendirian di malam. waswas ada pencuri masuk. setiap suara kecil terdengar. jantung langsung berdebar kencang. gelisah memeriksa pintu. takut kunci tidak terkunci. . rumah kosong malam membuatku takut. khawatir maling masuk tanpa suara. bahaya mengintai dari kegelapan. terancam keselamatan sendirian. gemetar mendengar suara aneh. panik kalau ada yang masuk. semua lampu dinyalakan. tapi tetap merasa tidak aman. resah menunggu pagi. agar terang kembali datang,rumah kosong malam membuatku takut. khawatir maling masuk tanpa suara. bahaya mengintai dari kegelapan. terancam keselamatan sendirian. gemetar mendengar suara aneh. panik kalau ada yang masuk,takut
19,ancaman bully,the overtunes,di sekolah ada geng nakal. yang suka mengintimidasi. cemas kalau mereka datang. waswas jadi target berikutnya. mereka bilang tunggu sepulang sekolah. akan dihajar sampai babak belur. gelisah memikirkan pulang. takut lewat gerbang sekolah. . ancaman bully membuatku takut. khawatir dipukuli tanpa alasan. bahaya mengancam setiap hari sekolah. terancam keselamatan fisik. gemetar kalau bertemu mereka. panik harus cari jalan alternatif. melaporkan ke guru. tapi malah diancam lebih parah. resah tidak tahu harus bagaimana. menghadapi teror ini,ancaman bully membuatku takut. khawatir dipukuli tanpa alasan. bahaya mengancam setiap hari sekolah. terancam keselamatan fisik. gemetar kalau bertemu mereka. panik harus cari jalan alternatif,takut
20,kehilangan dia selamanya,virgoun,dia sakit parah di rumah sakit. dokter bilang kondisi kritis. cemas kalau dia tidak selamat. waswas kehilangan orang terkasih. setiap detik menunggu kabar. jantung berdebar tidak karuan. gelisah melihat napas sesak. takut ini perpisahan terakhir. . kehilangan dia selamanya. takut hidup tanpa kehadirannya. bahaya kematian mengancam. terancam kehilangan cinta sejati. gemetar memikirkan pemakaman. panik kalau dia tidak bangun lagi. berdoa setiap waktu. memohon keajaiban terjadi. resah menunggu mukjizat. yang mungkin tidak akan datang,kehilangan dia selamanya. takut hidup tanpa kehadirannya. bahaya kematian mengancam. terancam kehilangan cinta sejati. gemetar memikirkan pemakaman. panik kalau dia tidak bangun lagi,takut
21,listrik padam tengah malam,samsons,hujan deras disertai petir. tiba-tiba listrik padam total. cemas gelap menyelimuti. waswas ada yang bersembunyi. hp lowbat tidak bisa terang. lilin tidak ada di rumah. gelisah mendengar suara aneh. takut hantu atau pencuri. . listrik padam tengah malam. takut gelap yang mencekam. bahaya bersembunyi di kegelapan. terancam tidak bisa melihat. gemetar kalau ada yang mendekat. panik tidak bisa meminta tolong. suara-suara misterius. entah dari mana asalnya. resah menunggu fajar. agar terang kembali menyinari,listrik padam tengah malam. takut gelap yang mencekam. bahaya bersembunyi di kegelapan. terancam tidak bisa melihat. gemetar kalau ada yang mendekat. panik tidak bisa meminta tolong,takut
22,jalan tol sepi,sheila on 7,pulang malam lewat tol sepi. tidak ada mobil lain terlihat. cemas kalau ada yang menguntit. waswas dibegal di tengah jalan. bensin mulai habis tapi. tidak ada spbu yang buka. gelisah mobil mogok nanti. takut terdampar sendirian. . jalan tol sepi membuatku takut. khawatir menjadi korban kejahatan. bahaya mengancam di kegelapan. terancam keselamatan sendirian. gemetar melihat kaca spion. panik ada mobil mengikuti. kaca film gelap tidak bisa lihat. siapa yang ada di dalam. resah mempercepat laju. berharap sampai rumah selamat,jalan tol sepi membuatku takut. khawatir menjadi korban kejahatan. bahaya mengancam di kegelapan. terancam keselamatan sendirian. gemetar melihat kaca spion. panik ada mobil mengikuti,takut
23,ancaman mantan,giring ganesha,mantan pacar tidak terima. hubungan ini sudah berakhir. cemas dia lakukan hal gila. waswas keselamatan terancam. dia bilang kalau tidak bisa dia. maka tidak boleh orang lain. gelisah mendengar ancaman. takut dia benar-benar nekat. . ancaman mantan membuatku takut. khawatir dia lakukan kekerasan. bahaya obsesi yang mengancam. terancam kebebasan dan keselamatan. gemetar kalau dia datang. panik harus ganti nomor hp. polisi sudah dihubungi. tapi mereka bilang tunggu bukti. resah menunggu dia berbuat. sesuatu yang tidak bisa diundur,ancaman mantan membuatku takut. khawatir dia lakukan kekerasan. bahaya obsesi yang mengancam. terancam kebebasan dan keselamatan. gemetar kalau dia datang. panik harus ganti nomor hp,takut
24,lift rusak terjebak,kerispatih,naik lift sendirian ke lantai atas. tiba-tiba lift berhenti mendadak. cemas terjebak di dalam. waswas tidak ada yang tahu. tombol emergency tidak berfungsi. hp tidak dapat sinyal. gelisah udara mulai pengap. takut kehabisan oksigen. . lift rusak terjebak sendirian. takut tidak ada yang menyelamatkan. bahaya kekurangan udara. terancam terkunci selamanya. gemetar mengetuk pintu lift. panik kalau tidak ada yang dengar. waktu terus berlalu. tapi bantuan tidak datang. resah kalau mati di sini. tanpa sempat pamit keluarga,lift rusak terjebak sendirian. takut tidak ada yang menyelamatkan. bahaya kekurangan udara. terancam terkunci selamanya. gemetar mengetuk pintu lift. panik kalau tidak ada yang dengar,takut
25,hujan badai ekstrim,dewa 19,hujan badai turun tidak normal. angin kencang robohkan pohon. cemas rumah tidak kuat. waswas atap jebol kena angin. banjir mulai masuk halaman. air naik semakin tinggi. gelisah harus mengungsi. takut terseret arus deras. . hujan badai ekstrim menakutkan. takut rumah roboh diterjang angin. bahaya bencana alam mengancam. terancam nyawa dalam sekejap. gemetar mendengar suara keras. panik kalau rumah tidak tahan. tetangga sudah mulai panik. berlarian mencari tempat aman. resah kalau ini bukan. hujan biasa tapi tsunami,hujan badai ekstrim menakutkan. takut rumah roboh diterjang angin. bahaya bencana alam mengancam. terancam nyawa dalam sekejap. gemetar mendengar suara keras. panik kalau rumah tidak tahan,takut
26,debt collector datang,ungu,utang bank sudah telat bayar. debt collector mulai menagih. cemas mereka datang ke rumah. waswas dipermalukan tetangga. mereka bilang akan sita mobil. kalau tidak bayar minggu ini. gelisah uang tidak ada. takut rumah juga disita. . debt collector datang menagih. takut dipaksa bayar dengan kekerasan. bahaya ancaman intimidasi. terancam kehilangan harta benda. gemetar kalau mereka datang. panik harus kabur dari rumah. keluarga mulai ketakutan. melihat orang asing mengintai. resah kalau anak-anak. jadi trauma melihat kekerasan,debt collector datang menagih. takut dipaksa bayar dengan kekerasan. bahaya ancaman intimidasi. terancam kehilangan harta benda. gemetar kalau mereka datang. panik harus kabur dari rumah,takut
27,gas lpg bocor,five minutes,mencium bau gas yang menyengat. tabung lpg sepertinya bocor. cemas kalau sampai meledak. waswas rumah jadi puing. tidak berani nyalakan api. listrik juga tidak berani ditekan. gelisah gas terus mengalir. takut satu percikan api. . gas lpg bocor berbahaya. takut rumah meledak hancur. bahaya kebakaran mengancam. terancam nyawa seluruh keluarga. gemetar harus evakuasi. panik kalau ada yang merokok. tetangga harus diperingatkan. agar tidak ada korban jiwa. resah menunggu teknisi. yang belum tentu cepat datang,gas lpg bocor berbahaya. takut rumah meledak hancur. bahaya kebakaran mengancam. terancam nyawa seluruh keluarga. gemetar harus evakuasi. panik kalau ada yang merokok,takut
28,jembatan gantung goyang,nidji,menyeberang jembatan gantung tua. papan kayu sudah keropos. cemas jembatan tidak kuat. waswas jatuh ke jurang dalam. angin kencang membuat goyang. tali kawat berbunyi mencekam. gelisah langkah demi langkah. takut papan jebol tiba-tiba. . jembatan gantung goyang menakutkan. takut terjatuh ke jurang dalam. bahaya ketinggian mengancam. terancam nyawa di udara. gemetar memegang tali. panik kalau kawat putus. di bawah sungai deras mengalir. tidak ada yang bisa menolong. resah harus tetap jalan. meski nyawa dipertaruhkan,jembatan gantung goyang menakutkan. takut terjatuh ke jurang dalam. bahaya ketinggian mengancam. terancam nyawa di udara. gemetar memegang tali. panik kalau kawat putus,takut
29,anak demam tinggi,chrisye,anak demam sampai 40 derajat. kejang-kejang di pelukan. cemas kalau terjadi step. waswas kerusakan otak. dokter tidak ada yang jaga. rs penuh tidak ada tempat. gelisah harus bawa kemana. takut terlambat penanganan. . anak demam tinggi menakutkan. takut kejadian yang tidak diinginkan. bahaya komplikasi mengancam. terancam kehilangan buah hati. gemetar melihat dia lemas. panik kalau napas terhenti. sebagai orangtua merasa gagal. tidak bisa melindungi anak. resah kalau tuhan. memanggil dia lebih dulu,anak demam tinggi menakutkan. takut kejadian yang tidak diinginkan. bahaya komplikasi mengancam. terancam kehilangan buah hati. gemetar melihat dia lemas. panik kalau napas terhenti,takut
30,mobil rem blong,slank,turun bukit dengan kecepatan tinggi. tiba-tiba rem tidak berfungsi. cemas mobil tidak bisa berhenti. waswas nabrak kendaraan lain. jalanan berkelok sangat tajam. mobil melaju semakin kencang. gelisah mencari cara stop. takut terjadi kecelakaan fatal. . mobil rem blong sangat berbahaya. takut menabrak hingga meninggal. bahaya kematian di depan mata. terancam keselamatan penumpang. gemetar pegang kemudi. panik kalau tidak terkendali. penumpang berteriak ketakutan. melihat kecepatan tak terkendali. resah mencari jalan keluar. dari bahaya yang mengancam,mobil rem blong sangat berbahaya. takut menabrak hingga meninggal. bahaya kematian di depan mata. terancam keselamatan penumpang. gemetar pegang kemudi. panik kalau tidak terkendali,takut
31,bagaimana kalau gagal,payung teduh,besok presentasi penting. menentukan nasib promosi. cemas kalau tidak lancar. waswas semua mata memandang. sudah latihan berulang kali. tapi tetap gelisah hati. takut lupa apa yang mau disampaikan. keraguan menghantui pikiran. . bagaimana kalau gagal total. khawatir karier hancur berantakan. ketidakpastian hasil mencekam. bimbang apakah persiapan cukup. gemetar membayangkan cemoohan. terancam kehilangan kredibilitas. semua skenario buruk bermunculan. di kepala tidak bisa berhenti. resah memikirkan kemungkinan. yang belum tentu terjadi,bagaimana kalau gagal total. khawatir karier hancur berantakan. ketidakpastian hasil mencekam. bimbang apakah persiapan cukup. gemetar membayangkan cemoohan. terancam kehilangan kredibilitas,takut
32,seandainya dia curang,yura yunita,pacar jarang balas chat. katanya sibuk kerja terus. cemas kalau ada orang lain. waswas dia bohong padaku. akhir-akhir ini dingin. tidak seromantis dulu. gelisah kalau cintanya pudar. takut dia sedang selingkuh. . seandainya dia curang sama aku. khawatir hubungan berakhir. ketidakpastian cinta mencekam. bimbang harus percaya atau curiga. gemetar kalau dugaanku benar. terancam kehilangan orang tersayang. pikiran jahat terus bermunculan. membayangkan dia dengan yang lain. resah hati tidak tenang. karena overthinking terus menerus,seandainya dia curang sama aku. khawatir hubungan berakhir. ketidakpastian cinta mencekam. bimbang harus percaya atau curiga. gemetar kalau dugaanku benar. terancam kehilangan orang tersayang,takut
33,kalau orangtua sakit,iwan fals,melihat orangtua sudah tua. sering mengeluh sakit pinggang. cemas kalau sakitnya parah. waswas harus opname di rs. uang tabungan belum banyak. asuransi juga tidak ada. gelisah kalau biaya mahal. takut tidak mampu bayar. . kalau orangtua sakit parah. khawatir tidak bisa mengobati. ketidakpastian kesehatan mencekam. bimbang antara uang dan nyawa. gemetar memikirkan kehilangan. terancam hidup tanpa mereka. membayangkan saat di icu. mesin-mesin terpasang di tubuh. resah kalau harus memilih. antara uang dan keselamatan,kalau orangtua sakit parah. khawatir tidak bisa mengobati. ketidakpastian kesehatan mencekam. bimbang antara uang dan nyawa. gemetar memikirkan kehilangan. terancam hidup tanpa mereka,takut
34,bagaimana kalau phk,efek rumah kaca,perusahaan mulai tutup cabang. banyak karyawan dirumahkan. cemas kalau giliranku. waswas nama masuk daftar phk. cicilan rumah masih panjang. anak sekolah butuh biaya. gelisah kalau kehilangan gaji. takut tidak bisa bayar tagihan. . bagaimana kalau aku kena phk. khawatir tidak ada penghasilan. ketidakpastian kerja mencekam. bimbang harus cari cadangan. gemetar memikirkan utang. terancam kehilangan tempat tinggal. setiap hari menunggu pengumuman. siapa yang akan dirumahkan. resah melihat teman-teman. satu persatu diberhentikan,bagaimana kalau aku kena phk. khawatir tidak ada penghasilan. ketidakpastian kerja mencekam. bimbang harus cari cadangan. gemetar memikirkan utang. terancam kehilangan tempat tinggal,takut
35,seandainya anak kenapa-napa,melly goeslaw,"anak main sama teman. sampai malam belum pulang. cemas kalau terjadi apa-apa. waswas kecelakaan di jalan. hp tidak diangkat-angkat. mungkin baterai habis. gelisah memikirkan kemungkinan. takut ada yang mencelakai. . seandainya anak kenapa-napa. khawatir tidak bisa melindungi. ketidakpastian keamanan mencekam. bimbang harus cari atau tunggu. gemetar membayangkan musibah. terancam kehilangan buah hati. semua skenario buruk terbayang. kecelakaan, diculik, atau tersesat. resah hati orangtua. yang selalu khawatir anaknya",seandainya anak kenapa-napa. khawatir tidak bisa melindungi. ketidakpastian keamanan mencekam. bimbang harus cari atau tunggu. gemetar membayangkan musibah. terancam kehilangan buah hati,takut
36,kalau investasi hancur,fourtwnty,berita ekonomi tidak bagus. resesi mungkin akan datang. cemas saham turun drastis. waswas investasi jadi nol. uang pensiun sudah ditanam. di berbagai instrumen. gelisah kalau semua lenyap. takut tua hidup melarat. . kalau investasi hancur semua. khawatir masa tua menderita. ketidakpastian ekonomi mencekam. bimbang harus tarik dana. gemetar melihat nilai turun. terancam kehilangan masa depan. membayangkan hari tua. tidak punya uang untuk makan. resah kalau menjadi beban. anak-anak di kemudian hari,kalau investasi hancur semua. khawatir masa tua menderita. ketidakpastian ekonomi mencekam. bimbang harus tarik dana. gemetar melihat nilai turun. terancam kehilangan masa depan,takut
37,bagaimana kalau sakit keras,barasuara,sering sakit kepala akhir-akhir ini. takut ada yang serius. cemas kalau tumor otak. waswas penyakit berbahaya. belum berani periksa dokter. takut denger hasil yang buruk. gelisah kalau divonis parah. takut tidak lama hidup. . bagaimana kalau sakit keras. khawatir tidak bisa sembuh. ketidakpastian kesehatan mencekam. bimbang harus periksa atau tidak. gemetar memikirkan kematian. terancam meninggalkan keluarga. membayangkan kemoterapi. rambut rontok dan lemas. resah kalau keluarga. harus merawat sambil menangis,bagaimana kalau sakit keras. khawatir tidak bisa sembuh. ketidakpastian kesehatan mencekam. bimbang harus periksa atau tidak. gemetar memikirkan kematian. terancam meninggalkan keluarga,takut
38,seandainya rumah terbakar,maliq d'essentials,tetangga rumahnya kebakaran. karena korsleting listrik. cemas kalau rumahku juga. waswas kabel-kabel tua. instalasi listrik belum diperbaiki. sering ada percikan api. gelisah kalau terjadi hubungan pendek. takut rumah jadi abu. . seandainya rumah terbakar. khawatir kehilangan segalanya. ketidakpastian aset mencekam. bimbang harus pindah kemana. gemetar memikirkan kerugian. terancam hidup dari nol lagi. membayangkan barang-barang berharga. kenangan foto keluarga lenyap. resah kalau harus. memulai hidup dari awal,seandainya rumah terbakar. khawatir kehilangan segalanya. ketidakpastian aset mencekam. bimbang harus pindah kemana. gemetar memikirkan kerugian. terancam hidup dari nol lagi,takut
39,kalau perang dunia,superman is dead,berita konflik internasional. semakin memanas setiap hari. cemas kalau jadi perang besar. waswas indonesia ikut terlibat. negara-negara mulai bersiap. senjata nuklir dikembangkan. gelisah kalau dunia hancur. takut tidak ada yang selamat. . kalau perang dunia meletus. khawatir semua akan musnah. ketidakpastian perdamaian mencekam. bimbang harus lari kemana. gemetar memikirkan kehancuran. terancam kiamat di depan mata. membayangkan bom nuklir. meratakan kota-kota besar. resah kalau anak cucu. tidak punya masa depan,kalau perang dunia meletus. khawatir semua akan musnah. ketidakpastian perdamaian mencekam. bimbang harus lari kemana. gemetar memikirkan kehancuran. terancam kiamat di depan mata,takut
